Bin_center_Vx (Âµm/s),L4440_Normalized_Frequency,cyk1_Normalized_Frequency
0.005625,14.828660436137072,9.219446058493125
0.016875,11.381100726895118,8.935373490864485
0.028125,10.92419522326064,8.160630124604555
0.039375,8.515057113187957,7.360061979469304
0.050624999999999996,7.227414330218071,7.075989411840664
0.061875,7.227414330218062,6.6111433920847
0.073125,6.0228452751817265,6.068823035702759
0.084375,3.406022845275183,4.9325327651882
0.09562499999999999,4.070612668743512,4.622635418684229
0.106875,3.489096573208724,4.131964620052942
0.118125,2.201453790238835,3.202272580541026
0.12937500000000002,1.952232606438212,3.0214991284137103
0.140625,1.6199376947040522,2.5824778875330923
0.15187499999999998,0.8722741433021799,1.833559300148491
0.163125,0.8307372793354115,1.8593840790238263
0.174375,0.9138110072689504,1.472012395893859
0.18562499999999998,0.5399792315680161,1.084640712763896
0.196875,0.4984423676012469,1.265414164891215
0.208125,0.4153686396677047,0.7489185873845948
0.219375,0.41536863966770576,0.6456194718832731
0.23062499999999997,0.24922118380062286,0.49067079863128626
0.241875,0.3322949117341638,0.43902124088062455
0.253125,0.041536863966770574,0.5164955775066185
0.264375,0.12461059190031111,0.5681451352572775
0.275625,0.041536863966770574,0.2582477887533092
0.286875,0.0,0.28407256762864014
0.298125,0.1661474558670823,0.2582477887533092
0.30937499999999996,0.12461059190031111,0.12912389437665397
0.320625,0.08307372793354115,0.1291238943766546
0.331875,0.041536863966770574,0.28407256762864014
0.343125,0.041536863966770365,0.12912389437665397
0.354375,0.041536863966770574,0.10329911550132369
0.365625,0.041536863966770574,0.18077345212731644
0.37687499999999996,0.041536863966770365,0.07747433662599239
0.388125,0.0,0.051649557750661844
0.399375,0.0,0.025824778875330922
0.410625,0.08307372793354073,0.07747433662599239
0.421875,0.0,0.025824778875330922
0.433125,0.041536863966770574,0.0
0.44437499999999996,0.041536863966770365,0.025824778875330794
