Bin_center_Vy (Âµm/s),L4440_Normalized_Frequency,cyk1_Normalized_Frequency
0.005625,6.939899226014234,6.921040738588676
0.016875,6.274998701366163,6.17212215120408
0.028125,5.859435873461117,6.456194718832718
0.039375,5.443873045556077,6.017173477952097
0.050624999999999996,5.817879590670617,5.655626573697465
0.061875,5.1945353488130435,5.707276131448119
0.073125,4.6958599553269975,4.829233649686875
0.084375,4.571191106955484,5.190780553941508
0.09562499999999999,3.49072775440237,4.570985860933567
0.106875,4.737416238117502,4.545161082058237
0.118125,4.072515713469427,3.3830460326683425
0.12937500000000002,3.656952885564383,3.61546904254632
0.140625,3.4076151888213655,2.8407256762864015
0.15187499999999998,3.075164926497322,3.0214991284137103
0.163125,2.742714664173294,2.4533539931564374
0.174375,2.701158381382783,2.685777003034409
0.18562499999999998,2.57648953301127,1.962683194525145
0.196875,1.4960261804581603,1.7819097423978336
0.208125,1.994701573944209,1.5236619536445206
0.219375,1.288244766505638,1.342888501517208
0.23062499999999997,1.5791387460391653,1.084640712763896
0.241875,0.7480130902290784,1.0588159338885652
0.253125,0.8311256558100891,0.8005681451352585
0.264375,0.9142382213910936,0.8522177028859161
0.275625,0.6649005246480713,0.6972690296339348
0.286875,0.5817879590670624,0.6456194718832731
0.298125,0.540231676276558,0.5681451352572803
0.30937499999999996,0.29089397953352975,0.3615469042546311
0.320625,0.41556282790504456,0.3615469042546329
0.331875,0.2908939795335312,0.18077345212731644
0.343125,0.29089397953352975,0.4131964620052927
0.354375,0.41556282790504456,0.2324230098779783
0.365625,0.33245026232403563,0.30989734650397105
0.37687499999999996,0.37400654511453824,0.12912389437665397
0.388125,0.16622513116201781,0.15494867325198552
0.399375,0.16622513116201781,0.1291238943766546
0.410625,0.08311256558100849,0.025824778875330794
0.421875,0.041556282790504454,0.10329911550132369
0.433125,0.08311256558100891,0.07747433662599276
0.44437499999999996,0.041556282790504245,0.025824778875330794
